,sigma,b,z
0,0.0,0.0,0.00010905129104114599
1,0.0,0.1,0.00010905129104114599
2,0.0,0.2,0.00010905129104114595
3,0.0,0.30000000000000004,0.00010905129104114601
4,0.0,0.4,0.00010905129104114599
5,0.0,0.5,0.00010905129104114601
6,0.0,0.6000000000000001,0.00010905129104114604
7,0.0,0.7000000000000001,0.00010905129104114612
8,0.0,0.8,0.00010905129104114611
9,0.0,0.9,0.00010905129104114654
10,0.0,1.0,0.00026594969904135076
11,0.0,1.1,0.09556438151259286
12,0.0,1.2000000000000002,0.18256705736452378
13,0.0,1.3,0.26260176076729275
14,0.0,1.4000000000000001,0.33670232212379925
15,0.0,1.5,0.4056882943236021
16,0.0,1.6,0.4702203616090594
17,0.0,1.7000000000000002,0.5308389209633124
18,0.0,1.8,0.587991618961877
19,0.0,1.9000000000000001,0.6420534335100258
20,0.0,2.0,0.6933415985681376
21,0.0,2.1,0.7421268837211528
22,0.0,2.2,0.7886422473544824
23,0.0,2.3000000000000003,0.833089564749059
24,0.0,2.4000000000000004,0.875644923206413
25,0.0,2.5,0.9164628355272165
26,0.0,2.6,0.9556796266091822
27,0.0,2.7,0.993416180559231
28,0.0,2.8000000000000003,1.029780187965689
29,0.0,2.9000000000000004,1.0648679986449774
30,0.0,3.0,1.0987661601654912
31,0.0,3.1,1.1315527040062
32,0.0,3.2,1.1632982274509487
33,0.0,3.3000000000000003,1.1940668089518354
34,0.0,3.4000000000000004,1.2239167868052019
35,0.0,3.5,1.252901424924767
36,0.0,3.6,1.2810694848037667
37,0.0,3.7,1.3084657190944622
38,0.0,3.8000000000000003,1.335131299351915
39,0.0,3.9000000000000004,1.3611041882065351
40,0.0,4.0,1.3864194644100267
41,0.0,4.1000000000000005,1.4111096077391398
42,0.0,4.2,1.435204749563042
43,0.0,4.3,1.4587328939234947
44,0.0,4.4,1.481720113196372
45,0.0,4.5,1.5041907217628454
46,0.0,4.6000000000000005,1.5261674305909487
47,0.0,4.7,1.5476714851913893
48,0.0,4.800000000000001,1.5687227890483024
49,0.0,4.9,1.5893400143223173
50,0.0,5.0,1.6095407013691048
51,0.0,5.1000000000000005,1.629341348402555
52,0.0,5.2,1.6487574924510706
53,0.0,5.300000000000001,1.667803782602269
54,0.0,5.4,1.6864940464011204
55,0.0,5.5,1.7048413501554496
56,0.0,5.6000000000000005,1.7228580538075773
57,0.0,5.7,1.7405558609492695
58,0.0,5.800000000000001,1.757945864486867
59,0.0,5.9,1.7750385884028315
60,0.0,6.0,1.7918440260073802
61,0.0,6.1000000000000005,1.8083716750283965
62,0.0,6.2,1.8246305698480894
63,0.0,6.300000000000001,1.8406293111603955
64,0.0,6.4,1.8563760932928373
65,0.0,6.5,1.8718787294101502
66,0.0,6.6000000000000005,1.887144674793725
67,0.0,6.7,1.9021810483705293
68,0.0,6.800000000000001,1.9169946526470922
69,0.0,6.9,1.9315919921883018
70,0.0,7.0,1.9459792907666553
71,0.0,7.1000000000000005,1.960162507295114
72,0.0,7.2,1.9741473506456555
73,0.0,7.300000000000001,1.9879392934457785
74,0.0,7.4,2.0015435849363508
75,0.0,7.5,2.014965262966458
76,0.0,7.6000000000000005,2.0282091651938043
77,0.0,7.7,2.041279939553
78,0.0,7.800000000000001,2.0541820540484257
79,0.0,7.9,2.0669198059232765
80,0.0,8.0,2.079497330251915
81,0.0,8.1,2.0919186079984735
82,0.0,8.200000000000001,2.1041874735810278
83,0.0,8.3,2.116307621977321
84,0.0,8.4,2.1282826154049306
85,0.0,8.5,2.1401158896061703
86,0.0,8.6,2.1518107597653846
87,0.0,8.700000000000001,2.163370426084221
88,0.0,8.8,2.1747979790382606
89,0.0,8.9,2.1860964043366686
90,0.0,9.0,2.197268587604734
91,0.0,9.1,2.2083173188077008
92,0.0,9.200000000000001,2.219245296432837
93,0.0,9.3,2.230055131445442
94,0.0,9.4,2.2407493510332794
95,0.0,9.5,2.2513304021528833
96,0.0,9.600000000000001,2.261800654890191
97,0.0,9.700000000000001,2.2721624056470344
98,0.0,9.8,2.2824178801642074
99,0.0,9.9,2.292569236391079
100,0.0,10.0,2.3026185672109944
101,0.1,0.0,0.8253146353585861
102,0.1,0.1,0.8253146353585861
103,0.1,0.2,0.8253146353585861
104,0.1,0.30000000000000004,0.8253146353585861
105,0.1,0.4,0.8253146353585861
106,0.1,0.5,0.8253146353585861
107,0.1,0.6000000000000001,0.8253146353585861
108,0.1,0.7000000000000001,0.8253146353585861
109,0.1,0.8,0.8253146353585861
110,0.1,0.9,0.8253146353585861
111,0.1,1.0,0.8253146353585861
112,0.1,1.1,0.8253146353585861
113,0.1,1.2000000000000002,0.8253146353585861
114,0.1,1.3,0.8253146353585861
115,0.1,1.4000000000000001,0.8253146353585861
116,0.1,1.5,0.8253146353585861
117,0.1,1.6,0.8253146353585861
118,0.1,1.7000000000000002,0.8253146353585861
119,0.1,1.8,0.8253146353585861
120,0.1,1.9000000000000001,0.8253146353585861
121,0.1,2.0,0.8253146353585861
122,0.1,2.1,0.8253146353585861
123,0.1,2.2,0.8253146353585862
124,0.1,2.3000000000000003,0.833089564749059
125,0.1,2.4000000000000004,0.875644923206413
126,0.1,2.5,0.9164628355272165
127,0.1,2.6,0.9556796266091822
128,0.1,2.7,0.993416180559231
129,0.1,2.8000000000000003,1.029780187965689
130,0.1,2.9000000000000004,1.0648679986449774
131,0.1,3.0,1.0987661601654912
132,0.1,3.1,1.1315527040062
133,0.1,3.2,1.1632982274509487
134,0.1,3.3000000000000003,1.1940668089518354
135,0.1,3.4000000000000004,1.2239167868052019
136,0.1,3.5,1.252901424924767
137,0.1,3.6,1.2810694848037667
138,0.1,3.7,1.3084657190944622
139,0.1,3.8000000000000003,1.335131299351915
140,0.1,3.9000000000000004,1.3611041882065351
141,0.1,4.0,1.3864194644100267
142,0.1,4.1000000000000005,1.4111096077391398
143,0.1,4.2,1.435204749563042
144,0.1,4.3,1.4587328939234947
145,0.1,4.4,1.481720113196372
146,0.1,4.5,1.5041907217628454
147,0.1,4.6000000000000005,1.5261674305909487
148,0.1,4.7,1.5476714851913893
149,0.1,4.800000000000001,1.5687227890483024
150,0.1,4.9,1.5893400143223173
151,0.1,5.0,1.6095407013691048
152,0.1,5.1000000000000005,1.629341348402555
153,0.1,5.2,1.6487574924510706
154,0.1,5.300000000000001,1.667803782602269
155,0.1,5.4,1.6864940464011204
156,0.1,5.5,1.7048413501554496
157,0.1,5.6000000000000005,1.7228580538075773
158,0.1,5.7,1.7405558609492695
159,0.1,5.800000000000001,1.757945864486867
160,0.1,5.9,1.7750385884028315
161,0.1,6.0,1.7918440260073802
162,0.1,6.1000000000000005,1.8083716750283965
